index,true_label,predicted_label,is_hold,is_misclassified
0,1,2,True,True
1,2,2,False,False
2,1,1,True,False
3,0,0,False,False
4,2,0,False,False
5,2,1,False,False
6,2,2,False,False
7,2,2,False,False
8,1,1,True,False
9,1,0,True,True
10,0,0,False,False
11,0,0,False,False
12,0,1,False,False
13,1,1,True,False
14,0,0,False,False
15,0,1,False,False
16,2,2,False,False
17,1,1,True,False
18,0,0,False,False
19,1,1,True,False
20,0,0,False,False
21,0,1,False,False
22,2,2,False,False
23,2,2,False,False
24,2,2,False,False
25,0,0,False,False
26,1,1,True,False
27,0,1,False,False
28,0,1,False,False
29,1,1,True,False
30,0,0,False,False
31,0,0,False,False
32,1,1,True,False
33,1,2,True,True
34,0,0,False,False
35,2,2,False,False
36,2,2,False,False
37,2,1,False,False
38,0,0,False,False
39,2,2,False,False
40,1,1,True,False
41,0,0,False,False
42,0,0,False,False
43,2,2,False,False
44,0,0,False,False
45,0,0,False,False
46,2,2,False,False
47,1,0,True,True
48,1,0,True,True
49,0,0,False,False
50,0,0,False,False
51,1,0,True,True
52,2,2,False,False
53,2,2,False,False
54,2,2,False,False
55,0,1,False,False
56,2,2,False,False
57,0,1,False,False
58,1,0,True,True
59,1,0,True,True
60,0,0,False,False
61,2,1,False,False
62,1,1,True,False
63,2,2,False,False
64,2,2,False,False
65,2,1,False,False
66,0,0,False,False
67,2,2,False,False
68,2,2,False,False
69,1,1,True,False
70,2,2,False,False
71,2,2,False,False
72,2,2,False,False
73,0,1,False,False
74,0,0,False,False
75,0,0,False,False
76,1,1,True,False
77,0,0,False,False
78,2,2,False,False
79,0,0,False,False
80,1,0,True,True
81,0,1,False,False
82,2,2,False,False
83,0,0,False,False
84,2,2,False,False
85,1,1,True,False
86,2,1,False,False
87,2,2,False,False
88,1,1,True,False
89,0,0,False,False
90,0,1,False,False
91,0,0,False,False
92,0,0,False,False
93,2,2,False,False
94,0,0,False,False
95,0,0,False,False
96,2,1,False,False
97,2,2,False,False
98,2,2,False,False
99,1,1,True,False
100,0,0,False,False
101,1,1,True,False
102,0,0,False,False
103,1,2,True,True
104,1,1,True,False
105,2,2,False,False
106,0,1,False,False
107,1,2,True,True
108,0,1,False,False
109,2,2,False,False
110,0,1,False,False
111,2,2,False,False
112,2,2,False,False
113,1,1,True,False
114,0,0,False,False
115,0,0,False,False
116,1,1,True,False
117,2,2,False,False
118,0,0,False,False
119,2,1,False,False
120,0,0,False,False
121,2,2,False,False
122,0,0,False,False
123,2,2,False,False
124,2,2,False,False
125,2,2,False,False
126,1,1,True,False
127,0,1,False,False
128,2,2,False,False
129,0,0,False,False
